OBJECTID,FIPS,County,Tract_Name,Population_Total,Education_Population_AgeOver24,Education_Population_AgeOver24_LessThan9th,Percent_Education_Population_AgeOver24_LessThan9th,Education_Population_AgeOver24_No_High_School_Diploma,Percent_Education_Population_AgeOver24_No_High_School_Diploma,Education_Population_AgeOver24_High_School_Graduate,Percent_Education_Population_AgeOver24_High_School_Graduate,Education_Population_AgeOver24_Some_College_NoDegree,Percent_Education_Population_AgeOver24_Some_College_NoDegree,Education_Population_AgeOver24_Associates_Degree,Percent_Education_Population_AgeOver24_Associates_Degree,Education_Population_AgeOver24_Bachelors_Degree,Percent_Education_Population_AgeOver24_Bachelors_Degree,Education_Population_AgeOver24_Graduate_Degree_Higher,Percent_Education_Population_AgeOver24_Graduate_Degree_Higher,Education_Population_AgeOver24_HSD_Higher,Percent_Education_Population_AgeOver24_HSD_Higher,Education_Population_AgeOver24_Bachelors_Higher,Percent_Education_Population_AgeOver24_Bachelors_Higher,Education_Population_AgeOver24_LessThan9th_Or_No_High_School_Dip,Percent_Education_Population_AgeOver24_LessThan9th_Or_No_High_Sc
536,08047013800,GILPIN,"Census Tract 138, Gilpin County, Colorado",6018,4923,37,0.8,39,0.8,1055,21.4,1403,28.5,441,9,1284,26.1,664,13.5,4847,98.5,1948,39.6,76,1.6
537,08031980000,DENVER,"Census Tract 9800, Denver County, Colorado",1708,1084,65,6,22,2,247,22.8,351,32.4,125,11.5,186,17.2,88,8.1,997,92,274,25.3,87,8
538,08071000800,LAS ANIMAS,"Census Tract 8, Las Animas County, Colorado",2549,2075,102,4.9,86,4.1,812,39.1,481,23.2,225,10.8,199,9.6,170,8.2,1887,90.9,369,17.8,188,9
539,08071000100,LAS ANIMAS,"Census Tract 1, Las Animas County, Colorado",3521,2606,170,6.5,124,4.8,854,32.8,766,29.4,265,10.2,296,11.4,131,5,2312,88.7,427,16.4,294,11.3
540,08071000200,LAS ANIMAS,"Census Tract 2, Las Animas County, Colorado",2128,1332,95,7.1,57,4.3,368,27.6,348,26.1,217,16.3,149,11.2,98,7.4,1180,88.6,247,18.5,152,11.4
541,08071000300,LAS ANIMAS,"Census Tract 3, Las Animas County, Colorado",2073,1693,24,1.4,127,7.5,454,26.8,470,27.8,177,10.5,261,15.4,180,10.6,1542,91.1,441,26,151,8.9
542,08071000500,LAS ANIMAS,"Census Tract 5, Las Animas County, Colorado",1863,1339,89,6.6,122,9.1,382,28.5,361,27,224,16.7,99,7.4,62,4.6,1128,84.2,161,12,211,15.7
543,08071000400,LAS ANIMAS,"Census Tract 4, Las Animas County, Colorado",2132,1482,124,8.4,159,10.7,233,15.7,455,30.7,98,6.6,297,20,116,7.8,1199,80.9,413,27.9,283,19.1
544,08043979400,FREMONT,"Census Tract 9794, Fremont County, Colorado",3196,2484,63,2.5,130,5.2,894,36,783,31.5,225,9.1,223,9,166,6.7,2291,92.2,389,15.7,193,7.7
545,08043980200,FREMONT,"Census Tract 9802, Fremont County, Colorado",3073,3073,71,2.3,508,16.5,1637,53.3,677,22,74,2.4,70,2.3,36,1.2,2494,81.2,106,3.4,579,18.8
546,08043979100,FREMONT,"Census Tract 9791, Fremont County, Colorado",3108,2306,23,1,89,3.9,684,29.7,580,25.2,396,17.2,363,15.7,171,7.4,2194,95.1,534,23.2,112,4.9
547,08043978100,FREMONT,"Census Tract 9781, Fremont County, Colorado",3574,2624,3,0.1,104,4,910,34.7,679,25.9,309,11.8,325,12.4,294,11.2,2517,95.9,619,23.6,107,4.1
548,08043978200,FREMONT,"Census Tract 9782, Fremont County, Colorado",3628,2691,37,1.4,159,5.9,916,34,674,25,323,12,418,15.5,164,6.1,2495,92.7,582,21.6,196,7.3
549,08043980300,FREMONT,"Census Tract 9803, Fremont County, Colorado",5952,5477,58,1.1,986,18,4174,76.2,182,3.3,25,0.5,52,0.9,0,0,4433,80.9,52,0.9,1044,19.1
550,08043979200,FREMONT,"Census Tract 9792, Fremont County, Colorado",1713,1381,8,0.6,45,3.3,330,23.9,356,25.8,180,13,251,18.2,211,15.3,1328,96.2,462,33.5,53,3.9
551,08043978800,FREMONT,"Census Tract 9788, Fremont County, Colorado",2313,1747,51,2.9,121,6.9,413,23.6,463,26.5,139,8,287,16.4,273,15.6,1575,90.2,560,32.1,172,9.8
552,08043980100,FREMONT,"Census Tract 9801, Fremont County, Colorado",308,287,0,0,42,14.6,245,85.4,0,0,0,0,0,0,0,0,245,85.4,0,0,42,14.6
553,08043978600,FREMONT,"Census Tract 9786, Fremont County, Colorado",3631,2447,100,4.1,111,4.5,698,28.5,709,29,305,12.5,356,14.5,168,6.9,2236,91.4,524,21.4,211,8.6
554,08043978300,FREMONT,"Census Tract 9783, Fremont County, Colorado",5266,3727,67,1.8,275,7.4,967,25.9,1021,27.4,410,11,514,13.8,473,12.7,3385,90.8,987,26.5,342,9.2
555,08043978500,FREMONT,"Census Tract 9785, Fremont County, Colorado",5715,3961,44,1.1,200,5,1107,27.9,1322,33.4,405,10.2,633,16,250,6.3,3717,93.8,883,22.3,244,6.1
556,08043978400,FREMONT,"Census Tract 9784, Fremont County, Colorado",2388,1885,20,1.1,123,6.5,737,39.1,431,22.9,179,9.5,201,10.7,194,10.3,1742,92.4,395,21,143,7.6
557,08001008709,ADAMS,"Census Tract 87.09, Adams County, Colorado",7668,4669,637,13.6,1153,24.7,1391,29.8,730,15.6,317,6.8,390,8.4,51,1.1,2879,61.7,441,9.4,1790,38.3
558,08001009751,ADAMS,"Census Tract 97.51, Adams County, Colorado",3944,2398,324,13.5,229,9.5,421,17.6,650,27.1,185,7.7,434,18.1,155,6.5,1845,76.9,589,24.6,553,23
559,08001009752,ADAMS,"Census Tract 97.52, Adams County, Colorado",3257,2048,148,7.2,174,8.5,651,31.8,500,24.4,150,7.3,300,14.6,125,6.1,1726,84.3,425,20.8,322,15.7
560,08001007801,ADAMS,"Census Tract 78.01, Adams County, Colorado",4215,2409,531,22,495,20.5,580,24.1,550,22.8,104,4.3,125,5.2,24,1,1383,57.4,149,6.2,1026,42.5
561,08001008309,ADAMS,"Census Tract 83.09, Adams County, Colorado",4251,2292,309,13.5,340,14.8,1108,48.3,259,11.3,87,3.8,85,3.7,104,4.5,1643,71.7,189,8.2,649,28.3
562,08001008308,ADAMS,"Census Tract 83.08, Adams County, Colorado",5648,3451,303,8.8,383,11.1,1442,41.8,588,17,339,9.8,292,8.5,104,3,2765,80.1,396,11.5,686,19.9
563,08001008100,ADAMS,"Census Tract 81, Adams County, Colorado",1574,1151,100,8.7,29,2.5,137,11.9,100,8.7,104,9,376,32.7,305,26.5,1022,88.8,681,59.2,129,11.2
564,08001008000,ADAMS,"Census Tract 80, Adams County, Colorado",5818,3604,626,17.4,441,12.2,1108,30.7,768,21.3,256,7.1,244,6.8,161,4.5,2537,70.4,405,11.2,1067,29.6
565,08001008353,ADAMS,"Census Tract 83.53, Adams County, Colorado",8538,5435,474,8.7,481,8.9,1688,31.1,1220,22.4,471,8.7,784,14.4,317,5.8,4480,82.4,1101,20.3,955,17.6
566,08001007900,ADAMS,"Census Tract 79, Adams County, Colorado",5627,3402,534,15.7,488,14.3,1040,30.6,501,14.7,309,9.1,313,9.2,217,6.4,2380,70,530,15.6,1022,30
567,08027970100,CUSTER,"Census Tract 9701, Custer County, Colorado",4776,3812,85,2.2,159,4.2,791,20.8,1219,32,318,8.3,830,21.8,410,10.8,3568,93.6,1240,32.5,244,6.4
568,08025969600,CROWLEY,"Census Tract 9696, Crowley County, Colorado",5754,3883,113,2.9,427,11,1653,42.6,791,20.4,548,14.1,278,7.2,73,1.9,3343,86.1,351,9,540,13.9
569,08089968100,OTERO,"Census Tract 9681, Otero County, Colorado",2527,1448,201,13.9,142,9.8,454,31.4,451,31.1,48,3.3,88,6.1,64,4.4,1105,76.3,152,10.5,343,23.7
570,08089968200,OTERO,"Census Tract 9682, Otero County, Colorado",2764,1854,40,2.2,199,10.7,605,32.6,447,24.1,258,13.9,225,12.1,80,4.3,1615,87.1,305,16.5,239,12.9
571,08089968400,OTERO,"Census Tract 9684, Otero County, Colorado",1101,782,48,6.1,69,8.8,256,32.7,176,22.5,89,11.4,93,11.9,51,6.5,665,85,144,18.4,117,14.9
572,08089968300,OTERO,"Census Tract 9683, Otero County, Colorado",4104,2729,150,5.5,173,6.3,689,25.2,669,24.5,461,16.9,348,12.8,239,8.8,2406,88.2,587,21.5,323,11.8
573,08089968600,OTERO,"Census Tract 9686, Otero County, Colorado",4585,3041,115,3.8,215,7.1,1218,40.1,664,21.8,248,8.2,398,13.1,183,6,2711,89.1,581,19.1,330,10.9
574,08089968000,OTERO,"Census Tract 9680, Otero County, Colorado",1593,1165,24,2.1,72,6.2,398,34.2,283,24.3,158,13.6,158,13.6,72,6.2,1069,91.8,230,19.7,96,8.3
575,08089968500,OTERO,"Census Tract 9685, Otero County, Colorado",1608,1118,52,4.7,52,4.7,255,22.8,371,33.2,129,11.5,145,13,114,10.2,1014,90.7,259,23.2,104,9.4
576,08011966700,BENT,"Census Tract 9667, Bent County, Colorado",5787,4534,193,4.3,498,11,2210,48.7,828,18.3,288,6.4,379,8.4,138,3,3843,84.8,517,11.4,691,15.3
577,08017960600,CHEYENNE,"Census Tract 9606, Cheyenne County, Colorado",2026,1338,16,1.2,96,7.2,492,36.8,298,22.3,179,13.4,224,16.7,33,2.5,1226,91.6,257,19.2,112,8.4
578,08039961209,ELBERT,"Census Tract 9612.09, Elbert County, Colorado",2182,1629,15,0.9,36,2.2,512,31.4,449,27.6,187,11.5,363,22.3,67,4.1,1578,96.9,430,26.4,51,3.1
579,08039961208,ELBERT,"Census Tract 9612.08, Elbert County, Colorado",3465,2638,9,0.3,35,1.3,601,22.8,616,23.4,354,13.4,550,20.8,473,17.9,2594,98.3,1023,38.8,44,1.6
580,08039961207,ELBERT,"Census Tract 9612.07, Elbert County, Colorado",3930,2676,5,0.2,70,2.6,610,22.8,693,25.9,355,13.3,653,24.4,290,10.8,2601,97.2,943,35.2,75,2.8
581,08039961206,ELBERT,"Census Tract 9612.06, Elbert County, Colorado",3735,2763,0,0,80,2.9,747,27,647,23.4,322,11.7,713,25.8,254,9.2,2683,97.1,967,35,80,2.9
582,08039961205,ELBERT,"Census Tract 9612.05, Elbert County, Colorado",2057,1497,20,1.3,48,3.2,488,32.6,369,24.6,170,11.4,245,16.4,157,10.5,1429,95.5,402,26.9,68,4.5
583,08039961204,ELBERT,"Census Tract 9612.04, Elbert County, Colorado",8121,5473,23,0.4,160,2.9,970,17.7,1296,23.7,674,12.3,1617,29.5,733,13.4,5290,96.7,2350,42.9,183,3.3
584,08039961100,ELBERT,"Census Tract 9611, Elbert County, Colorado",2227,1650,14,0.8,85,5.2,494,29.9,372,22.5,236,14.3,330,20,119,7.2,1551,94,449,27.2,99,6
585,08001007802,ADAMS,"Census Tract 78.02, Adams County, Colorado",4389,2822,593,21,467,16.5,1131,40.1,383,13.6,56,2,105,3.7,87,3.1,1762,62.4,192,6.8,1060,37.5
586,08023972700,COSTILLA,"Census Tract 9727, Costilla County, Colorado",1684,1360,148,10.9,142,10.4,387,28.5,456,33.5,29,2.1,112,8.2,86,6.3,1070,78.7,198,14.6,290,21.3
587,08023972600,COSTILLA,"Census Tract 9726, Costilla County, Colorado",2061,1433,158,11,84,5.9,297,20.7,451,31.5,102,7.1,190,13.3,151,10.5,1191,83.1,341,23.8,242,16.9
588,08001008200,ADAMS,"Census Tract 82, Adams County, Colorado",6576,4310,329,7.6,681,15.8,1666,38.7,772,17.9,424,9.8,278,6.5,160,3.7,3300,76.6,438,10.2,1010,23.4
589,08059010406,JEFFERSON,"Census Tract 104.06, Jefferson County, Colorado",2892,1974,216,10.9,314,15.9,716,36.3,232,11.8,98,5,210,10.6,188,9.5,1444,73.2,398,20.2,530,26.8
590,08059011100,JEFFERSON,"Census Tract 111, Jefferson County, Colorado",6565,4712,288,6.1,366,7.8,1191,25.3,978,20.8,330,7,861,18.3,698,14.8,4058,86.1,1559,33.1,654,13.9
591,08059011723,JEFFERSON,"Census Tract 117.23, Jefferson County, Colorado",3418,2369,15,0.6,51,2.2,557,23.5,529,22.3,199,8.4,659,27.8,359,15.2,2303,97.2,1018,43,66,2.8
592,08059012057,JEFFERSON,"Census Tract 120.57, Jefferson County, Colorado",5992,4209,0,0,94,2.2,704,16.7,1138,27,461,11,1393,33.1,419,10,4115,97.8,1812,43.1,94,2.2
593,08099000700,PROWERS,"Census Tract 7, Prowers County, Colorado",2171,1429,195,13.6,150,10.5,326,22.8,360,25.2,184,12.9,140,9.8,74,5.2,1084,75.9,214,15,345,24.1
594,08059012050,JEFFERSON,"Census Tract 120.50, Jefferson County, Colorado",4140,3006,34,1.1,48,1.6,408,13.6,608,20.2,185,6.2,1004,33.4,719,23.9,2924,97.3,1723,57.3,82,2.7
595,08059011724,JEFFERSON,"Census Tract 117.24, Jefferson County, Colorado",6739,4710,11,0.2,43,0.9,415,8.8,620,13.2,257,5.5,1956,41.5,1408,29.9,4656,98.9,3364,71.4,54,1.1
596,08059009807,JEFFERSON,"Census Tract 98.07, Jefferson County, Colorado",1737,1334,11,0.8,44,3.3,243,18.2,232,17.4,70,5.2,377,28.3,357,26.8,1279,95.9,734,55,55,4.1
597,08059009806,JEFFERSON,"Census Tract 98.06, Jefferson County, Colorado",3867,2978,6,0.2,39,1.3,367,12.3,411,13.8,233,7.8,1018,34.2,904,30.4,2933,98.5,1922,64.5,45,1.5
