OBJECTID,FIPS,County,Tract_Name,Population_Total,Percent_Poverty_AllPeople_Income_Below_Pov_Level,Poverty_Per_Capita_Income,Housing_Poverty_Median_Household_Income,Housing_Poverty_Mean_Household_Income
383,08013012507,BOULDER,"Census Tract 125.07, Boulder County, Colorado",4436,23.6,38531,69236,93143
384,08013012505,BOULDER,"Census Tract 125.05, Boulder County, Colorado",4089,8.7,68837,126786,170517
385,08013013201,BOULDER,"Census Tract 132.01, Boulder County, Colorado",1678,8.2,52233,104966,137782
386,08013013211,BOULDER,"Census Tract 132.11, Boulder County, Colorado",6142,4.2,54621,122658,148883
387,08013013207,BOULDER,"Census Tract 132.07, Boulder County, Colorado",4538,8.7,46421,91429,113875
388,08013012101,BOULDER,"Census Tract 121.01, Boulder County, Colorado",4631,5.7,71718,120278,171886
389,08013013205,BOULDER,"Census Tract 132.05, Boulder County, Colorado",5396,11.8,74295,118257,194900
390,08013013306,BOULDER,"Census Tract 133.06, Boulder County, Colorado",4880,10.9,26935,57409,70068
391,08013012201,BOULDER,"Census Tract 122.01, Boulder County, Colorado",3845,29.5,49573,68917,108119
392,08013012705,BOULDER,"Census Tract 127.05, Boulder County, Colorado",4457,13.8,48065,65000,90866
393,08013012708,BOULDER,"Census Tract 127.08, Boulder County, Colorado",4961,2.9,73654,119570,164642
394,08013013601,BOULDER,"Census Tract 136.01, Boulder County, Colorado",4016,4.6,57531,106094,146124
395,08013012710,BOULDER,"Census Tract 127.10, Boulder County, Colorado",3616,4.1,69408,125536,163657
396,08013013701,BOULDER,"Census Tract 137.01, Boulder County, Colorado",5990,9.9,65171,109861,150187
397,08013013702,BOULDER,"Census Tract 137.02, Boulder County, Colorado",5735,9.6,60654,93873,133398
398,08013013202,BOULDER,"Census Tract 132.02, Boulder County, Colorado",1438,3.7,58349,119375,149329
399,08013012204,BOULDER,"Census Tract 122.04, Boulder County, Colorado",4299,41.9,35100,42567,75950
400,08013013602,BOULDER,"Census Tract 136.02, Boulder County, Colorado",867,4.6,56027,101071,117341
401,08013012903,BOULDER,"Census Tract 129.03, Boulder County, Colorado",2354,3.2,71671,131786,180259
402,08013012501,BOULDER,"Census Tract 125.01, Boulder County, Colorado",2514,7,55412,83542,118335
403,08013012603,BOULDER,"Census Tract 126.03, Boulder County, Colorado",3411,7.4,57290,122500,139821
404,08013012511,BOULDER,"Census Tract 125.11, Boulder County, Colorado",6470,17.9,30265,59948,101832
405,08013012709,BOULDER,"Census Tract 127.09, Boulder County, Colorado",1867,5.5,52447,123125,138552
406,08075966300,LOGAN,"Census Tract 9663, Logan County, Colorado",5148,11.1,27008,49048,60660
407,08075966200,LOGAN,"Census Tract 9662, Logan County, Colorado",4070,14.6,22192,43009,49826
408,08075966100,LOGAN,"Census Tract 9661, Logan County, Colorado",7764,14,28921,59682,71083
409,08075966000,LOGAN,"Census Tract 9660, Logan County, Colorado",2204,10.3,27440,51781,68384
410,08075966400,LOGAN,"Census Tract 9664, Logan County, Colorado",2164,10,23844,64034,73280
411,08075965900,LOGAN,"Census Tract 9659, Logan County, Colorado",1030,11.2,31245,60114,73989
412,08013060800,BOULDER,"Census Tract 608, Boulder County, Colorado",8831,8.2,33607,64036,80566
413,08013013507,BOULDER,"Census Tract 135.07, Boulder County, Colorado",3416,4.7,33616,81080,92210
414,08013013505,BOULDER,"Census Tract 135.05, Boulder County, Colorado",4269,13.5,26656,47004,66618
415,08013013212,BOULDER,"Census Tract 132.12, Boulder County, Colorado",4533,5,43520,85592,105680
416,08013061300,BOULDER,"Census Tract 613, Boulder County, Colorado",3336,1.5,57764,173500,192910
417,08013061400,BOULDER,"Census Tract 614, Boulder County, Colorado",3995,3.3,49238,125060,152834
418,08013012607,BOULDER,"Census Tract 126.07, Boulder County, Colorado",5926,53.6,18137,23699,34519
419,08013013508,BOULDER,"Census Tract 135.08, Boulder County, Colorado",7376,4.8,40129,91919,108185
420,08013013506,BOULDER,"Census Tract 135.06, Boulder County, Colorado",4561,11.2,40962,98722,111053
421,08013013213,BOULDER,"Census Tract 132.13, Boulder County, Colorado",9827,9,48911,94552,133186
422,08013012608,BOULDER,"Census Tract 126.08, Boulder County, Colorado",2462,14.1,37696,69821,91937
423,08013060600,BOULDER,"Census Tract 606, Boulder County, Colorado",6110,7.8,50496,109844,125751
424,08013060700,BOULDER,"Census Tract 607, Boulder County, Colorado",3132,6,59054,102898,136817
425,08013013005,BOULDER,"Census Tract 130.05, Boulder County, Colorado",3179,5.6,49254,92188,117560
426,08013012508,BOULDER,"Census Tract 125.08, Boulder County, Colorado",3081,16.9,38374,66959,86578
427,08013012605,BOULDER,"Census Tract 126.05, Boulder County, Colorado",1485,42.5,23594,32847,47683
428,08013013004,BOULDER,"Census Tract 130.04, Boulder County, Colorado",3530,4.6,64290,137765,180471
429,08013012401,BOULDER,"Census Tract 124.01, Boulder County, Colorado",6088,59.8,22791,23934,66969
430,08013012300,BOULDER,"Census Tract 123, Boulder County, Colorado",6720,32.6,9238,39800,55929
431,08013012202,BOULDER,"Census Tract 122.02, Boulder County, Colorado",6362,42.7,31527,40826,62144
432,08013012102,BOULDER,"Census Tract 121.02, Boulder County, Colorado",7349,7.1,55026,82398,129676
433,08013012105,BOULDER,"Census Tract 121.05, Boulder County, Colorado",5879,3.3,52675,101644,120198
434,08013012104,BOULDER,"Census Tract 121.04, Boulder County, Colorado",2557,8.5,71684,121658,169344
435,08013012904,BOULDER,"Census Tract 129.04, Boulder County, Colorado",5567,2.9,58905,98125,136609
436,08013012707,BOULDER,"Census Tract 127.07, Boulder County, Colorado",2457,21.8,35296,63893,120956
437,08013012905,BOULDER,"Census Tract 129.05, Boulder County, Colorado",2723,8.4,34012,54828,73446
438,08013012103,BOULDER,"Census Tract 121.03, Boulder County, Colorado",3835,7.7,65198,93508,154463
439,08013012800,BOULDER,"Census Tract 128, Boulder County, Colorado",12923,5.8,51345,120717,147073
440,08123001412,WELD,"Census Tract 14.12, Weld County, Colorado",3147,5.7,38685,89653,99763
441,08123001407,WELD,"Census Tract 14.07, Weld County, Colorado",3506,3.1,42289,100529,117901
442,08123001408,WELD,"Census Tract 14.08, Weld County, Colorado",1924,2.7,39786,79737,100125
443,08123001405,WELD,"Census Tract 14.05, Weld County, Colorado",4782,4.9,30778,77219,86851
444,08123001406,WELD,"Census Tract 14.06, Weld County, Colorado",6065,7.6,36140,74856,85337
445,08123001414,WELD,"Census Tract 14.14, Weld County, Colorado",2339,2.4,40695,86276,113502
446,08123001003,WELD,"Census Tract 10.03, Weld County, Colorado",4616,35.2,15635,35719,40892
447,08123002207,WELD,"Census Tract 22.07, Weld County, Colorado",3530,5,34343,95481,107598
448,08123002009,WELD,"Census Tract 20.09, Weld County, Colorado",2859,2.2,58045,119907,150992
449,08123001908,WELD,"Census Tract 19.08, Weld County, Colorado",2901,2.1,32654,63049,94319
450,08123002010,WELD,"Census Tract 20.10, Weld County, Colorado",2666,12.2,29690,67944,80762
451,08123001906,WELD,"Census Tract 19.06, Weld County, Colorado",1716,8.9,27256,61402,80275
452,08123002103,WELD,"Census Tract 21.03, Weld County, Colorado",10665,4.5,44802,101071,131759
453,08123001410,WELD,"Census Tract 14.10, Weld County, Colorado",3505,2.5,39798,81406,97110
454,08123002208,WELD,"Census Tract 22.08, Weld County, Colorado",6576,3.8,40186,103892,116077
455,08123001417,WELD,"Census Tract 14.17, Weld County, Colorado",3000,22.1,23604,61528,71773
456,08123001416,WELD,"Census Tract 14.16, Weld County, Colorado",2837,4.5,49426,93008,118175
457,08123001005,WELD,"Census Tract 10.05, Weld County, Colorado",7495,13.2,26297,58750,77174
458,08123001004,WELD,"Census Tract 10.04, Weld County, Colorado",4292,25.6,22426,41289,58008
459,08123000705,WELD,"Census Tract 7.05, Weld County, Colorado",1663,8.2,25354,50078,64732
460,08123000800,WELD,"Census Tract 8, Weld County, Colorado",3189,43.7,25508,36087,58875
461,08123000200,WELD,"Census Tract 2, Weld County, Colorado",3861,47,10846,28125,39618
462,08123000100,WELD,"Census Tract 1, Weld County, Colorado",2789,35.2,15129,21809,31114
463,08123000300,WELD,"Census Tract 3, Weld County, Colorado",2323,0,2776,0,0
464,08123000900,WELD,"Census Tract 9, Weld County, Colorado",3575,10.1,25108,60169,75758
465,08123000402,WELD,"Census Tract 4.02, Weld County, Colorado",3969,19.4,23201,53672,62201
466,08123001202,WELD,"Census Tract 12.02, Weld County, Colorado",2833,3.9,32718,62818,77171
467,08123001300,WELD,"Census Tract 13, Weld County, Colorado",7162,20.9,16721,39411,47607
468,08123001201,WELD,"Census Tract 12.01, Weld County, Colorado",4419,20.8,20312,41123,49824
469,08123000502,WELD,"Census Tract 5.02, Weld County, Colorado",3684,19.3,20357,43419,56628
470,08123000401,WELD,"Census Tract 4.01, Weld County, Colorado",3560,23.6,28719,65833,72562
471,08123001100,WELD,"Census Tract 11, Weld County, Colorado",4859,18.1,27382,49811,64823
472,08123001800,WELD,"Census Tract 18, Weld County, Colorado",4678,5.9,34830,75357,97949
473,08123000600,WELD,"Census Tract 6, Weld County, Colorado",2268,29.4,14577,41917,48243
474,08123001700,WELD,"Census Tract 17, Weld County, Colorado",5460,11.4,26848,57478,78512
475,08123001404,WELD,"Census Tract 14.04, Weld County, Colorado",3178,15,27030,70417,80263
476,08123002502,WELD,"Census Tract 25.02, Weld County, Colorado",7732,15.6,26951,63961,77177
477,08123001902,WELD,"Census Tract 19.02, Weld County, Colorado",8270,8.3,28280,75163,84881
478,08123001500,WELD,"Census Tract 15, Weld County, Colorado",7357,6.4,35725,81691,94448
479,08123002300,WELD,"Census Tract 23, Weld County, Colorado",5586,8.9,30041,64456,81758
480,08123000701,WELD,"Census Tract 7.01, Weld County, Colorado",1653,19.9,21655,44306,55600
481,08123001600,WELD,"Census Tract 16, Weld County, Colorado",4552,7.1,35254,76505,95543
482,08123002501,WELD,"Census Tract 25.01, Weld County, Colorado",5535,7.3,32689,72845,90928
483,08123000501,WELD,"Census Tract 5.01, Weld County, Colorado",3534,25.3,13681,36818,44553
484,08123002013,WELD,"Census Tract 20.13, Weld County, Colorado",3255,1.8,36852,112730,116734
485,08123002012,WELD,"Census Tract 20.12, Weld County, Colorado",1263,2.6,40790,123636,126024
